1:binCentralValue 2:valuesAverage 3:multiplicity
3.5 5.026437568296899e-14 602
4 4.487666292799906e-14 762
4.5 2.673300162437806e-14 1142
5 1.476442045196519e-15 1250
5.5 1.147799784706883e-17 1458
6 3.623082436970701e-18 1814
6.5 3.109388356254844e-18 2178
7 1.070674535667544e-18 2498
7.5 1.074807314026166e-19 2622
8 5.768127098465693e-21 3338
8.5 1.356565187451883e-21 3722
9 7.485258363860004e-22 4170
9.5 3.132481336144866e-22 4358
10 9.425343423233717e-23 5034
10.5 1.841146688974216e-23 5714
11 3.829016446171076e-24 5982
11.5 1.332490506201228e-24 6602
12 4.608910044452981e-25 7130
12.5 1.551839366519624e-25 8034
13 3.906316779377238e-26 8606
13.5 1.260591758058106e-26 9066
14 3.916212715468539e-27 9962
14.5 1.177644100657122e-27 10550
15 3.200315019924533e-28 11226
15.5 8.620153722555129e-29 12146
16 2.240840759702741e-29 12303
16.5 4.754755188408613e-30 12584
17 6.970122958896298e-31 12120
17.5 7.668168894706561e-32 11180
18 1.00421098791686e-32 11096
18.5 1.348601062207439e-33 10056
19 2.048250449665659e-34 9716
19.5 5.61247251269594e-35 8604
20 4.032619323058114e-35 8060
20.5 3.645864929600558e-35 7320
21 3.441979829434598e-35 6356
21.5 3.072631049902455e-35 5348
22 2.613521656378257e-35 4308
22.5 2.284341302060298e-35 3563
23 1.594089105302559e-35 2448
23.5 1.219328854567451e-35 1868
24 9.367517299461942e-36 1358
24.5 7.148313400194183e-36 1062
25 5.469532240082607e-36 776
25.5 3.012738801985951e-36 432
26 1.497025886000611e-36 200
26.5 1.308677450484413e-36 168
27 4.222917458072208e-37 56
27.5 1.180205530315654e-37 7

0.5 3.04943629547285e-10 18
1 5.774442353468082e-10 62
1.5 1.758029203550366e-09 98
2 9.7227091857998e-10 210
2.5 1.187662771351582e-10 350
3 1.098806751910135e-10 450
3.5 7.699840313161885e-11 602
4 5.661769163271233e-11 762
4.5 2.83569981004808e-11 1142
5 7.781796601219188e-12 1250
5.5 2.811975312580885e-12 1458
6 8.768984348935851e-13 1814
6.5 1.516047070162178e-13 2178
7 2.735777914679872e-14 2498
7.5 1.957146974491358e-14 2622
8 1.694681711010652e-14 3338
8.5 7.518957233406231e-15 3722
9 2.338604564650327e-15 4170
